CV_IMF1	CV_IMF2	CV_IMF3	CV_IMF4	CV_IMF5	FI_IMF1	FI_IMF2	FI_IMF3	FI_IMF4	FI_IMF5	SK_IMF1	SK_IMF2	SK_IMF3	SK_IMF4	SK_IMF5	KU_IMF1	KU_IMF2	KU_IMF3	KU_IMF4	KU_IMF5
16.73301125	-45415.59968	-4411.54443	-7014.759707	-12385.48365	1.57646299	0.519312825	0.085454298	0.025061438	0.009606608	-0.197377013	-0.032990988	-0.381546136	-0.20161378	0.286330077	2.507357014	2.360479154	3.533001753	3.240158519	2.784961517
2980.772226	-10259.80568	-4661.226626	-46127.80998	-17850.42355	1.781433631	0.379953671	0.064660471	0.028102343	0.005118485	-0.001399395	0.01853327	-0.538987291	-0.027824739	-0.004670525	2.149573554	2.397943214	4.754017577	1.978025821	2.386795098
31.71281461	-25103.41424	-10385.41942	-185805.0417	2.933712722	1.579911207	0.4757147	0.082316205	0.030411787	0.012914649	-0.222251989	-0.023547854	0.130283756	-0.096576196	-2.817775389	2.493799848	2.375952191	3.120361999	2.493861616	9.721874116
0.005129086	0.08043509	4.647793046	6.23690032	0.317313243	442.5198305	306.3029511	2.197843412	1.267675266	0.474907326	1.03E-05	0.036834946	2.08564669	0.850576929	-0.098405732	2.397656439	2.182447968	22.05045726	11.49936214	5.142952024
0.009269254	0.034580367	0.268896	0.489894528	339.4925512	237.8490472	167.4618565	1.340876122	0.942301594	0.597517093	-0.242588	-0.073980321	1.817227958	-1.242323094	-0.542028308	3.80862959	3.529769531	14.2853238	8.639090168	4.830565618
0.448118084	0.009578214	0.017291902	0.056738074	22.7012388	89.0316443	63.98745374	33.02114782	23.35268447	0.295834521	-0.41182413	0.959103828	0.111219665	-0.086639198	-0.621444613	13.63459238	5.001103401	2.908705522	2.062503928	7.399598229
2.67676816	0.022403848	0.068049217	0.112234768	0.662980425	43.27049895	31.69120807	17.97213796	11.81229227	1.008049752	-0.513500875	0.117287164	-1.254230612	0.277704776	0.409297386	28.42837292	8.466550767	10.66430213	3.885627769	6.934025257
0.028909174	0.08503407	0.035519577	4.611105126	2.847017661	140.4350972	87.96003454	53.0670561	2.170798548	0.441028656	-0.019778392	0.171891762	-0.027777996	0.877547888	0.434730422	7.000423194	3.24259335	2.388266921	6.76890283	5.098016279
0.107876477	0.04978484	0.065328888	34.36947168	2011.009989	78.11682628	49.86977358	30.39144671	3.061916586	0.23713814	0.183733112	-0.118206453	0.098389956	0.249354719	-0.311522003	12.68441741	5.231123261	4.415346166	12.40656389	8.7320306
0.01648635	0.032420869	2.05928334	8.120687655	4.647971416	209.606132	93.29547889	74.31932277	2.797928034	1.016171622	-0.145621481	-0.589690301	0.019253333	0.838701141	0.700331391	4.73805033	3.517768766	2.44221382	8.708205748	3.541936476
